劳记使命 牢记使命
理屈辞穷 理屈词穷
自付盈亏 自负盈亏
无以附加 无以复加
立杆见影 立竿见影
揭杆而起 揭竿而起
春华秋实 春花秋实
兵慌马乱 兵荒马乱
飞皇腾达 飞黄腾达
自惭形晦 自惭形秽
时乖命艰 时乖命蹇
犯而不较 犯而不校
墙脚旮旯 墙角旮旯
盘根错结 盘根错节
开源截流 开源节流
一喏千金 一诺千金
去芜存精 去芜存菁
无耻滥言 无耻谰言
阴谋鬼计 阴谋诡计
蟾宫折贵 蟾宫折桂
插科打浑 插科打诨
反唇相击 反唇相讥
反唇相叽 反唇相讥
旁积博采 旁稽博采
不及不离 不即不离
大声急呼 大声疾呼
浑浑厄厄 浑浑噩噩
卓而不群 卓尔不群
丰神潇洒 风神潇洒
曲高合寡 曲高和寡
宏篇巨制 鸿篇巨制
候门似海 侯门似海
皇天厚土 皇天后土
上方宝剑 尚方宝剑
袍槲登场 袍笏登场
积腋成裘 集腋成裘
掎角之势 犄角之势
不记其数 不计其数
既往开来 继往开来
一如继往 一如既往
无艰不摧 无坚不摧
坚苦卓绝 艰苦卓绝
前踞后恭 前倨后恭
窃踞要津 窃据要津
鬼蜮伎两 鬼蜮伎俩
颂读 诵读
颠仆不破 颠扑不破
夸夸奇谈 夸夸其谈
期及 企及
巧装打扮 乔装打扮
雍荣华贵 雍容华贵
煞有介事 煞有介事
杀羽而归 铩羽而归
阑姗 阑珊
流殇 流觞
无尚光荣 无上光荣
至高无尚 至高无上
不辨黍麦 不辨菽麦
毁家抒难 毁家纾难
众口烁金 众口铄金
传诵 传颂
毛骨耸然 毛骨悚然
天随人愿 天遂人愿
纷至踏来 纷至沓来
坛花一现 昙花一现
趟水过河 蹚水过河
趟过河 蹚过河
惊滔骇浪 惊涛骇浪
蓬头冼足 蓬头跣足
若隐若显 若隐若现
周祥 周详
通霄达旦 通宵达旦
削首示众 枭首示众
密而不宣 秘而不宣
棉里藏针 绵里藏针
渺茫 缈茫
不可明状 不可名状
磨拳擦掌 摩拳擦掌
默然回首 蓦然回首
入目三分 入木三分
晴天白日 青天白日
曲突徒薪 曲突徙薪
屈突徙薪 曲突徙薪
曲指可数 屈指可数
通渠 通衢
通衙 通衢
通衡 通衢
少纵即逝 稍纵即逝
年高德绍 年高德劭
安生立命 安身立命
申明大义 深明大义
胜气凌人 盛气凌人
千剩之国 千乘之国
驾舵 使舵
初日彤彤 初日瞳瞳
婉尔一笑 莞尔一笑
一泄千里 一泻千里
坑泄一气 坑瀣一气
别出新裁 别出心裁
行销骨立 形销骨立
得鱼忘苼 得鱼忘笙
月色融融 月色溶溶
春光溶溶 春光融融
手屈一指 首屈一指
额首称庆 额手称庆
妄费心机 枉费心机
名门旺族 名门望族
痴心忘想 痴心妄想
流连往返 流连忘返
维维诺诺 唯唯诺诺
嘻笑怒骂 嬉笑怒骂
行迹可疑 形迹可疑
形迹不定 行迹不定
如影随行 如影随形
不醒人事 不省人事
诩诩如生 栩栩如生
宣宾夺主 喧宾夺主
头昏目炫 头昏目眩
眩目 炫目
循章摘句 寻章摘句
察颜观色 察言观色
巧颜令色 巧言令色
研武修文 偃武修文
寓义 寓意
一劳永易 一劳永逸
顾名思意 顾名思义
望文生意 望文生义
微言大意 微言大义
曲义逢迎 曲意逢迎
义气用事 意气用事
流光异彩 流光溢彩
奕奕生辉 熠熠生辉
渝期作废 逾期作废
贪脏 贪赃
敲榨 敲诈
欲盖弥张 欲盖弥彰
弄章之喜 弄璋之喜
法制国家 法治国家
法治建设 法制建设
锱珠必较 锱铢必较
暴露无疑 暴露无遗
不能自己 不能自已
标新立意 标新立异
幽幽鹿鸣 呦呦鹿鸣
光阴不在 光阴不再
震聋发聩 振聋发聩
饮鸠止渴 饮鸩止渴
仗义直言 仗义执言
置地有声 掷地有声
出奇致胜 出奇制胜
淋漓尽至 淋漓尽致
专心至志 专心致志
摇摇欲堕 摇摇欲坠
卓识 灼识
真知灼见 真知卓见
传种接代 传宗接代
做享其成 坐享其成
捱 挨
飚 飙
搏取 博取
察颜观色 察言观色
扯蛋 扯淡
份上 分上
福份 福分
服服贴贴 服服帖帖
宫爆鸡丁 宫保鸡丁
攻城掠地 攻城略地
鬼计多端 诡计多端
海上升明月 海上生明月
划等号 画等号
划句号 画句号
黄橙橙 黄澄澄
可趁之机 可乘之机
克敌致胜 克敌制胜
睽违 暌违
揽胜 览胜
老奸巨滑 老奸巨猾
流金溢彩 流光溢彩
麻疯病 麻风病
没精打彩 没精打采
呕气 怄气
偶而 偶尔
签定 签订
人才倍出 人才辈出
惹事生非 惹是生非
揉合 糅合
前三甲 前三名
神智 神志
孰不知 殊不知
淌浑水 蹚浑水
温火 文火
延用 沿用
延着 沿着
阳光大道 阳关大道
鼓唇摇舌 摇唇鼓舌
-定要 一定要
9旬老人 九旬老人
M形社会 M型社会
S型曲线 S形曲线
T形人才 T型人才
T形台 T型台
WTO成员国 WTO成员方
両败俱伤 两败俱伤
両边倒 两边倒
両柄锄头 两柄锄头
両部鼓吹 两部鼓吹
両部汽车 两部汽车
両部字典 两部字典
両党制 两党制
両点论 两点论
両个一百年 两个一百年
両国交兵，不斩来使 两国交兵，不斩来使
両国相争，不罪来使 两国相争，不罪来使
両害相权取其轻 两害相权取其轻
両虎相斗 两虎相斗
両虎相争，必有一伤 两虎相争，必有一伤
両回事 两回事
両级分化 两级分化
両脚并拢 两脚并拢
両军对垒 两军对垒
両口子 两口子
両肋插刀 两肋插刀
両利相较取其重 两利相较取其重
両面光 两面光
両面派 两面派
両面三刀 两面三刀
両面讨好 两面讨好
両面性 两面性
両面圆到 两面圆到
両栖动物 两栖动物
両栖植物 两栖植物
両情不舍 两情不舍
両情缱绻 两情缱绻
